warehouse_id,product_id,reorder_point,reorder_quantity,lead_time_days,safety_stock,is_active
WH_02,f1c7f353075ce59d8a6f3cf58f419c9c,6,11,7,2,False
WH_05,b84520a57891e7a8ae2c68741dcc7146,5,7,10,2,True
WH_03,08a58dc963320d6073623382b9ceb920,4,5,14,2,True
WH_03,0a4f9f421af66d2ea061fbb8883419f7,8,11,14,2,True
WH_02,91b08d34d0ba4db44da2dc382867ba49,2,5,10,2,True
WH_03,f7bb503725fb4d7bb55301d5bceba728,5,5,14,2,True
WH_03,0cf41187284d7f099adc8415a743ebbd,3,5,10,2,True
WH_01,bb50f2e236e5eea0100680137654686c,4,5,10,2,True
WH_03,65650c84064ff1a79e4a05988f4c3e9f,3,5,10,2,True
WH_01,e53e557d5a159f5aa2c5e995dfdf244b,8,16,14,2,False
WH_03,0a4093a4af429dc0a9334300e5c13ae5,8,14,14,2,False
WH_03,4deb009c36a910076a023947a7929201,2,5,3,2,True
WH_05,c50ca07e9e4db9ea5011f06802c0aea0,5,8,10,2,True
WH_04,97b3b8e8ed22d0ceb3b3c520e806a334,4,5,5,2,True
WH_05,9bb8ca338e5588c361e34eae02e8fad6,2,5,3,2,True
WH_03,8562e2c780a345b609e1b802d7e3e4ae,3,5,5,2,True
WH_05,db6677c6f890ba1730c0b75bd8132579,4,5,10,2,True
WH_04,06f0e85c7892d5df893f332706340af1,3,5,3,2,True
WH_04,66a0a6e02b7f543e5b021ce361f267d4,2,5,5,2,True
WH_03,6a0713a63e990052795623e76cc2995e,8,16,14,2,True
WH_04,8844bd4b8ca8f93603694ca2bceb77e9,3,5,5,2,True
WH_03,e2e426d1332240070b0a836a854d057b,2,5,10,2,True
WH_03,145978af3e89b318be0b717a0953649a,6,8,10,2,True
WH_02,3efd399c5d016b9e6a5ad3196eade44f,2,5,3,2,True
WH_04,6d2fde7d12bb6ff367dbda120ba8828e,5,7,7,2,True
WH_01,e7d5464b94c9a5963f7c686fc80145ad,4,5,5,2,True
WH_02,423a6644f0aa529e8828ff1f91003690,7,8,14,2,True
WH_04,688ad0169550f8e2eb0307b61df3ba12,3,5,3,2,True
WH_04,22c5ddc22ea8cae84fc9917def682dc6,2,5,3,2,True
WH_01,43ee88561093499d9e571d4db5f20b79,4,7,14,2,True
WH_03,2eb9b2ef7c1da3c7b99702452ea4729f,8,13,14,2,True
WH_04,07c055536ebf10dfbb6c6db6dbfc36e5,3,5,5,2,True
WH_03,bc4cd4da98dd128c39bf0b8c2674032f,8,16,14,2,True
WH_05,e85d91619b497e98754390b6198a9818,8,9,14,2,True
WH_03,62d41a80c366aa2d8644e3270adf8440,6,10,10,2,True
WH_03,2acce4db469045e8f9a863028abce19d,6,8,14,2,True
WH_05,aa5d6a9bd4be367ae1a3a29c323c7c11,8,13,14,2,True
WH_05,dab2413ead0edda9967edbc9bda2a64e,6,9,10,2,False
WH_05,aba86c093ccdbac75b09111d57e50004,4,6,5,2,True
WH_02,fcaab5d7f656094e49fbe4ee3a506658,2,5,7,2,True
WH_04,11dc4053871ff53ff79fb1fc7e6b160f,3,5,5,2,True
WH_04,aa70ae9ee9a798d44ae6e00ce6d82cb1,3,5,5,2,True
WH_03,281bbfe70848e0b304bef88fc2caf2c3,5,7,7,2,False
WH_02,657247f6f60543b93e3cc708a8e6329c,2,5,7,2,False
WH_02,bee2e070c39f3dd2f6883a17a5f0da45,5,8,14,2,True
WH_02,431d674f9a4fbd0957ecf6ba3fcb6899,2,5,5,2,True
WH_04,c3f6113d5b61bc95468432072b27e23d,3,5,3,2,True
WH_02,b38b25d838ae0b8385e8cc68b9017644,2,5,3,2,True
WH_04,2fea0f2cec6b6324a277d4a61c2ed2c6,3,5,7,2,True
WH_01,fbce4c4cb307679d89a3bf3d3bb353b9,6,12,10,2,True
WH_01,741a31499a578979be85db7f80139e62,5,6,10,2,True
WH_02,c73628b1c3144b2e0c9c88072f21a213,3,5,14,2,True
WH_03,dbb4ce89c8ed5fb6fd901e2e51093179,6,12,14,2,True
WH_04,ee0c1cf2fbeae95205b4aa506f1469f0,5,9,10,2,True
WH_03,e7db7c40ea6647c808d48581f1308d88,2,5,3,2,True
WH_04,5fc3e6a4b52b0c414458104ed4037f1c,2,5,5,2,True
WH_01,0c71252f37443403376d2008034a7240,4,5,7,2,True
WH_04,e1da6ab77f4859eb17950e5df1c0f815,5,10,14,2,True
WH_02,7340a3839a1de1e99d149b8cf052a2ec,2,5,10,2,True
WH_05,134957eeec87be2414ac629ee0b947a4,3,5,7,2,True
WH_01,d8de812ed5d981fc6a3984f4caa2aa05,5,9,7,2,True
WH_01,f39a8b27ce90ac582103bf36f09690dd,4,5,14,2,True
WH_01,59ebd2c07d59483d0855b5b3d5e18728,8,11,14,2,True
WH_05,ad4b5def91ac7c575dbdf65b5be311f4,3,5,7,2,True
WH_02,cebff45f1d1558430be0e07ac0df6a68,2,5,7,2,True
WH_04,a334304f952399f2161225628a9d2891,4,6,14,2,True
WH_05,67bd616e1ba0d3d3e8545f3113b0140d,3,5,7,2,True
WH_03,82e4ad16521ca131d95e198d507db370,2,5,5,2,True
WH_01,cd935d283d47f1050c505e1c39c48b67,3,5,3,2,True
WH_01,9bfc55df037ce3ac01bfd84781adf7e5,3,5,10,2,True
WH_04,2083a6feb4bbb31f6abc92fc24e468c0,3,5,7,2,True
WH_01,9048cbd294fe0c1a3ec8c8248bc2cadd,3,5,5,2,True
WH_02,c3097e07a0a5de0d4b4c836d90c5a284,3,5,14,2,True
WH_03,027cdd14a677a5834bc67a9789db5021,3,5,14,2,True
WH_04,be1c4cf8a2d2aade623eb7a646d2a0bc,4,7,10,2,True
WH_03,f3ce47ccf98da2906f6b8b1387618e07,8,9,14,2,True
WH_01,4a0c2a56e65c941a0bb9874c47dd66d8,3,5,5,2,True
WH_05,f264c1d9b20b5e4a340254d0405e613b,3,5,7,2,True
WH_04,dd0dcee76f9c12fff4bc0eb641d57c7f,5,10,10,2,True
WH_02,97b3b8e8ed22d0ceb3b3c520e806a334,2,5,14,2,True
WH_03,11bbef4e2a44601d9dd471aa1fb433e6,7,14,14,2,True
WH_03,7b5d8be0e04080e4c8ee6a7ec2f1f597,5,5,7,2,True
WH_03,76d1a1a9d21ab677a61c3ae34b1b352f,3,5,14,2,True
WH_01,0fa81e7123fd0ebe03adbbe99d912827,6,12,10,2,True
WH_02,06f0e85c7892d5df893f332706340af1,2,5,7,2,True
WH_02,66a0a6e02b7f543e5b021ce361f267d4,2,5,7,2,True
WH_05,f49e985b4cb2d0543890d6dd00077663,3,5,14,2,True
WH_03,23365beed316535b4105bd800c46670e,4,5,10,2,True
WH_02,8844bd4b8ca8f93603694ca2bceb77e9,2,5,5,2,False
WH_03,500870614ddcf5bd84f7d26861026c8a,5,5,10,2,True
WH_03,3b60d513e90300a4e9833e5cda1f1d61,4,5,7,2,True
WH_03,44a5d24dd383324a421569ca697b13c2,3,5,7,2,True
WH_05,91c82ace62e0ca1b69b1a45bcc214b45,7,15,14,2,True
WH_01,35afc973633aaeb6b877ff57b2793310,4,5,10,2,True
WH_01,6a8631b72a2f8729b91514db87e771c0,3,5,10,2,True
WH_03,cc971e0365873137b8bef2ebad633e6f,7,15,14,2,True
WH_04,fcf28afb1353f2f12ea041dd74954226,2,5,3,2,True
WH_04,e672fbe634ad07cce9d85f412becb2c0,3,5,3,2,False
WH_02,6d2fde7d12bb6ff367dbda120ba8828e,2,5,10,2,True
WH_03,461f43be3bdf8844e65b62d9ac2c7a5a,3,5,10,2,True
WH_01,e78506414d2563b6414cfd84b7fa0802,3,5,5,2,True
WH_03,1a0971a6f39f04118207a7308d451e9d,3,5,5,2,True
WH_01,962a6951154f98f2c8e9a5b8b2bcf4a9,2,5,5,2,True
WH_02,688ad0169550f8e2eb0307b61df3ba12,2,5,7,2,True
WH_03,f71f42e2381752836563b70beb542f80,2,5,3,2,True
WH_03,57d79905de06d8897872c551bfd09358,5,8,7,2,True
WH_05,679a3e5e1d2bb68982be5734c6e55e63,3,5,7,2,True
WH_01,2029248294c186017ecfc48cecd47bbd,2,5,5,2,True
WH_02,07c055536ebf10dfbb6c6db6dbfc36e5,2,5,3,2,True
WH_05,5a7373ba4c9b3e13513ded06cd1986c4,4,5,5,2,True
WH_03,aede48631330269f65a8d680de491657,2,5,5,2,True
WH_01,f2399cabe080029634d12cec4f60dbf0,6,8,14,2,True
WH_02,6a1a04054158fe995e1688d8f79605b2,2,5,3,2,True
WH_01,fa126ff62aae83e37857ad495641c878,3,5,5,2,True
WH_05,9ecadb84c81da840dbf3564378b586e9,3,5,7,2,True
WH_04,583f158587cdecda3e8bdea694021e39,3,5,5,2,True
WH_04,64fb265487de2238627ce43fe8a67efc,7,9,14,2,True
WH_02,11dc4053871ff53ff79fb1fc7e6b160f,3,5,5,2,True
WH_04,78119fbfa709d07b86f5ccf15043c6d6,3,5,14,2,True
WH_02,aa70ae9ee9a798d44ae6e00ce6d82cb1,3,5,14,2,True
WH_04,f1fe595ee7ef768b41bd9b246d13432d,5,6,7,2,True
WH_03,b0961721fd839e9982420e807758a2a6,4,5,10,2,True
WH_04,ec5b3c8bb77ad22278f6e9d719a83de3,3,5,3,2,True
WH_02,c3f6113d5b61bc95468432072b27e23d,2,5,10,2,True
WH_03,fe077ec80df6b4ee60bb4498d5ab1962,2,5,5,2,True
WH_03,044f05bc9de36e8a693a83e4bc79dd0d,2,5,5,2,True
WH_03,c63ea4621680c1b0fca8864c0564bd78,8,16,14,2,True
WH_04,4914f8796af2ecd359fd8f44b9b92339,2,5,5,2,True
WH_05,914c9e9af640dd56f48764a225b00f89,4,5,7,2,False
WH_03,d99526b1e4fa5f57b8bde34a7337b5ee,8,10,14,2,True
WH_02,2fea0f2cec6b6324a277d4a61c2ed2c6,7,15,10,2,True
WH_04,a5ae8400fc9fcacd4af585a57bbf264a,3,5,5,2,True
WH_05,98d61056e0568ba048e5d78038790e77,4,5,14,2,False
WH_05,bb7181410b4e02f93f3697f765db53c7,2,5,5,2,False
WH_02,ee0c1cf2fbeae95205b4aa506f1469f0,3,5,10,2,True
WH_01,fbd4031ddbc3d02b95834b62769d3ad0,4,5,7,2,True
WH_02,5fc3e6a4b52b0c414458104ed4037f1c,8,17,14,2,True
WH_01,ffc9caf33e2d1e9f44e3e06da19085f7,7,11,14,2,True
WH_02,e1da6ab77f4859eb17950e5df1c0f815,2,5,10,2,True
WH_04,3c883b9d3fd2d0ce448d4136349dc0a4,5,8,10,2,True
WH_03,f77dd338d9f75229a09cbb9a18fd0c9a,8,18,14,2,True
WH_05,68a058d125ba1544e726898f0b8c0523,5,7,14,2,True
WH_04,eba7488e1c67729f045ab43fac426f2e,4,7,14,2,False
WH_03,186fe07c8b8005ec6a498587ffbc1352,2,5,5,2,True
WH_05,0bbdc963004d9b2fd3427ee3c5ae3608,3,5,5,2,True
WH_01,22594ba8fd9a72ad95d352929c821560,3,5,5,2,True
WH_03,283dc451ad3918badb976d56ff887289,6,7,10,2,True
WH_01,c9dbe2eec19a8093cb5ac57486531c18,6,12,14,2,True
WH_02,a334304f952399f2161225628a9d2891,2,5,5,2,True
WH_03,fe01b643060a6446e59f58e3021e66b3,3,5,10,2,True
WH_01,a2da86fa759178e9e58e54aa1a144e59,4,5,14,2,True
WH_05,a19b6951c75da43aad691622dd2f6abe,3,5,14,2,True
WH_01,31c79131e883e5fd8c4c85fe9f7d2bb2,4,5,14,2,True
WH_01,1164c17af70425821f88bfbdc9e907a3,3,5,14,2,True
WH_05,7b453aa3584d61c1268d77ba6fd5956b,3,5,3,2,True
WH_01,7d854ab97c64ef9df2bbfaf332765786,3,5,5,2,True
WH_05,fe6a9515d655fa7936b8a7c841039f34,4,5,10,2,True
WH_04,2635c3e7db0ac6cb3e733cac61ce0ba5,6,13,14,2,True
WH_01,dca8cbb1c9d8a2db0fbc0c36b8d1a7bc,3,5,7,2,True
WH_02,2083a6feb4bbb31f6abc92fc24e468c0,2,5,5,2,True
WH_02,be1c4cf8a2d2aade623eb7a646d2a0bc,2,5,7,2,True
WH_01,4cd6ba4ea3112de8fc238307c4dc6307,4,5,5,2,True
WH_05,060cb19345d90064d1015407193c233d,6,13,14,2,True
WH_05,5bfc7506459ae2a7b4b573fe557a58e1,2,5,5,2,True
WH_05,c075b8e131353552218860f1c421e4ef,4,5,10,2,True
WH_04,9749139e09929de55d37e68e64b89706,5,7,7,2,True
WH_03,d3e1006ba3735c0d44160026b6e0ced3,3,5,5,2,True
WH_05,41c24b8ce92d1a2cac62db5edfd088b2,3,5,3,2,True
WH_01,1fb344134cd7164d32dea4d87ba3ec5a,6,8,10,2,True
WH_04,a50acd33ba7a8da8e9db65094fa990a4,4,5,5,2,True
WH_05,93a12c289ca2b78e7069e469f5053ef2,5,6,10,2,True
WH_04,dc881ef926ca402063ea142afc83874c,3,5,5,2,True
WH_03,51d646c5c93e0f1de543528d0e24eadc,3,5,3,2,True
WH_01,aef8207c2e91f4fcdbc0824737abf358,4,5,7,2,True
WH_03,086351823300e0339f6955b27998c186,4,5,7,2,True
WH_03,3cb39171fd36c50097f2dedbbe0dfe6e,4,5,5,2,True
WH_02,fcf28afb1353f2f12ea041dd74954226,2,5,3,2,True
WH_02,e672fbe634ad07cce9d85f412becb2c0,2,5,7,2,False
WH_02,08c816d9a716567bf436173ef6f5f12e,3,5,7,2,True
WH_01,418d480693f2f01e9cf4568db0346d28,4,5,5,2,True
WH_05,083ffd30820b592e294de7ed668ff975,3,5,5,2,True
WH_01,04c4a4b9c924494fcf82e0fba966f955,2,5,3,2,True
WH_05,6cdd53843498f92890544667809f1595,4,5,5,2,True
WH_01,8317b177579dd27ff068b83205e2169b,3,5,5,2,True
WH_04,c72edc98e7d77f0c4c04ec80730c05f5,5,9,10,2,False
WH_05,1b2066a33aee5851ee3e44b10b36b3c8,5,9,7,2,True
WH_03,6ac3978babf6ca76087369391bb6ce5a,4,5,5,2,True
WH_05,aa8d88eb4b9cb38894e33fa624c4287f,5,7,14,2,True
WH_01,fbc1488c1a1e72ba175f53ab29a248e8,4,5,10,2,True
WH_05,99f265229d46f700208ad7cb1ff48aae,4,7,5,2,True
WH_05,704ef63ad0ac345842ea734060a83db2,2,5,3,2,True
WH_02,583f158587cdecda3e8bdea694021e39,2,5,7,2,True
WH_02,64fb265487de2238627ce43fe8a67efc,2,5,10,2,True
WH_01,ba80c9f47a84d1e08465f72e22930c83,4,5,14,2,True
WH_03,87cb507e0daa37bbf34956fd59eba832,2,5,7,2,True
WH_05,09b0d15a8cc9a84e7af7e0225f67dc45,3,5,3,2,True
WH_02,78119fbfa709d07b86f5ccf15043c6d6,2,5,7,2,False
WH_04,64315bd8c0c47303179dd2e25b579d00,3,5,5,2,True
WH_02,f1fe595ee7ef768b41bd9b246d13432d,3,5,3,2,False
WH_04,f361fccba568fabe00db466f80626d1e,4,5,5,2,True
WH_02,ec5b3c8bb77ad22278f6e9d719a83de3,2,5,3,2,True
WH_01,994ab76f0da3349fffcfe5d598e9babb,4,6,10,2,True
WH_05,7a9cf133da2a6494259ffeeab11b6276,3,5,3,2,True
WH_05,4ce9ab528124f89e091b17d11aa2e97c,5,7,7,2,True
WH_03,474bb6b54fc608ca71059a6c4f7ecda3,5,9,10,2,True
WH_02,7f4e034245e45549110139d1de248f83,2,5,14,2,True
WH_03,2b939dc9b176d7fa21594d588815d4a4,3,5,10,2,True
WH_02,af2d506fb01b724e03591349ad36b67e,2,5,7,2,False
WH_02,4914f8796af2ecd359fd8f44b9b92339,2,5,10,2,True
WH_04,0d85c435fd60b277ffb9e9b0f88f927a,5,7,10,2,True
WH_02,a5ae8400fc9fcacd4af585a57bbf264a,3,5,3,2,True
WH_05,7a10781637204d8d10485c71a6108a2e,3,5,10,2,True
WH_01,23bcd6822a33df5534f9b290216eec1f,5,9,7,2,True
WH_01,1d3ecbda18167c766a3381fd16108e4a,3,5,14,2,True
WH_04,f71973c922ccaab05514a36a8bc741b8,5,10,14,2,True
WH_04,cac9e5692471a0700418aa3400b9b2b1,2,5,3,2,True
WH_03,7fb04722aba7a2b632bac8f9819796f3,7,14,14,2,True
WH_02,eba7488e1c67729f045ab43fac426f2e,3,5,3,2,True
WH_01,7cd29da0653abeb444703cc5a957f479,3,5,14,2,True
WH_04,c7b3cf9de7be95b3e09e7a63315685eb,7,13,14,2,True
WH_05,8fa67e5cb309b9cd7b4438e15948bdb2,3,5,5,2,True
WH_04,d1c427060a0f73f6b889a5c7c61f2ac4,4,7,7,2,True
WH_04,2136c70bbe723d338fab53da3c03e6dc,3,5,7,2,True
WH_01,dd61e943598eec72351633dd6a72d5dc,4,5,5,2,True
WH_05,25e2023ed83352bde98dc1490d14c3d8,3,5,10,2,True
WH_03,e19ddcc85537b41f22116c8d5425ef46,8,10,14,2,True
WH_03,f7e0fa615b386bc9a8b9eb52bc1fff76,2,5,5,2,True
WH_02,6a2909ac21d16b721e4795e7e8ff3e68,4,5,7,2,True
WH_03,7c4a8bec217df1de0df2b5aaf8175b65,6,8,14,2,True
WH_01,c211ff3068fcd2f8898192976d8b3a32,3,5,10,2,True
WH_01,5c2bb11cf2149bd4d9fffcc1246458c3,8,12,14,2,True
WH_04,98190f6a2c3253d07ca86525bb238162,3,5,5,2,True
WH_03,a9f480bfc49f0b85e8394e1cdf685b4e,3,5,5,2,True
WH_03,7b85e3deef35afd6ebed5461ee8f0641,2,5,3,2,True
WH_05,4cc8bfa581f41841ce5e24aba773a44a,2,5,5,2,True
WH_05,ac44def10e24998cdee20a208d691127,5,10,10,2,True
WH_05,f9be8e0e5acd947d8f49dbc390b9ab20,5,7,10,2,True
WH_05,1bfb290d7273a442c874dbe74b4abae6,2,5,3,2,True
WH_03,5d66715cc928aadd0074f61332698593,3,5,14,2,True
WH_04,2196663031bcde078cede855ac0b5739,4,6,10,2,True
WH_01,7686fe49c98ae1c537b5cc51992f5d20,3,5,5,2,True
WH_03,3e442d09f9dfef002aadf31960869f65,4,5,10,2,True
WH_04,54d9ac713e253fa1fae9c8003b011c2a,3,5,7,2,False
WH_05,4b703444923b5e57bb73ba343f5ebab7,2,5,3,2,True
WH_01,7ce94ab189134e2d3c05f496d635419c,5,5,14,2,True
WH_04,779dd392d4fbe5ca656bf3ceabecbf0b,3,5,3,2,True
WH_01,130482add9fd75ccb6c57ba007694a2d,3,5,7,2,True
WH_01,d04bbac48960ecb7ea311b00ca6e1cb7,2,5,3,2,True
WH_04,fe9dfbe7f974621789683b7b78be2a16,3,5,7,2,True
WH_03,11250b0d4b709fee92441c5f34122aed,2,5,14,2,True
WH_03,bb42f37fc3d9130e4a4339d24a47dd7c,4,5,14,2,True
WH_05,242edc6b84c00f0d48c664a020a92c52,2,5,5,2,True
WH_04,99a4788cb24856965c36a24e339b6058,2,5,3,2,True
WH_04,ddceb6eef6af67e9fbbd4c148dbe5fd9,3,5,3,2,True
WH_01,9453bde60c4ee52155c963641736cfc5,2,5,3,2,True
WH_02,9749139e09929de55d37e68e64b89706,2,5,3,2,True
WH_04,e282624d8c82e04983f125e167eb4521,3,5,5,2,True
WH_04,4ae634441e444ca4bc85903cafe98d73,6,12,14,2,True
WH_05,d2085f7e0f9533605386960fc7e987ec,3,5,10,2,True
WH_04,e4ca5b20cfe1a020e15e36fe14e880ee,4,5,10,2,True
WH_02,a50acd33ba7a8da8e9db65094fa990a4,2,5,3,2,True
WH_03,0521fe3eb04940304b489d0fb49a37dd,6,11,10,2,True
WH_05,4c1e109ecdf58453de365d217cefa64c,2,5,3,2,False
WH_02,dc881ef926ca402063ea142afc83874c,2,5,3,2,True
WH_03,13db47eae724e2848e12b71a617a3a41,2,5,5,2,False
WH_05,0b039b61011417822882815943f13dac,2,5,5,2,True
WH_03,ad2037645597db38527fe3afbe226af2,3,5,14,2,True
WH_05,3e4176d545618ed02f382a3057de32b4,4,5,7,2,True
WH_05,3bf95cf337a8c87435a2949c48350fc7,3,5,10,2,True
WH_01,52c80cedd4e90108bf4fa6a206ef6b03,4,7,14,2,True
WH_05,82c51c3938503a4ddc096fbed86428d6,2,5,3,2,True
WH_01,88dd63919fc9ab693803578a04a20209,3,5,10,2,True
WH_01,f4d705aa95ccca448e5b0deb6e5290ba,2,5,7,2,True
WH_02,c72edc98e7d77f0c4c04ec80730c05f5,2,5,10,2,True
WH_05,9571759451b1d780ee7c15012ea109d4,4,5,10,2,True
WH_05,54e5939fcd9ae70ad0f59f612d6d29bd,2,5,14,2,True
WH_03,7b44e5ea770ef06810f5df89006cc8b2,3,5,7,2,True
WH_01,9ddc4249779322828f89d2a9c04f7ee1,8,11,14,2,True
WH_02,af0a99476d96dcc1a1baa7c0d9ff6b9d,3,5,3,2,True
WH_04,ba4a91633739ceceb2b73b627e2cfbc3,5,7,10,2,True
WH_04,cec09725da5ed01471d9a505e7389d37,2,5,5,2,True
WH_01,cfd414b4463647f58c7775eaae06893d,2,5,3,2,True
WH_04,acc444eb5ad26f79d5a11baa6a03c439,3,5,5,2,True
WH_04,c7fd13b5e515bffdab855d0812842edb,3,5,5,2,True
WH_02,64315bd8c0c47303179dd2e25b579d00,2,5,14,2,True
WH_05,1a428b685ede76217c9efb550c4aaa59,3,5,10,2,True
WH_02,f361fccba568fabe00db466f80626d1e,3,5,10,2,True
WH_04,719d571299707561c34ba04ab867b32a,4,5,5,2,True
WH_01,2bb3e85f2a403543fdb64e266e70c792,7,11,14,2,True
WH_01,fa381a4a9af65ea5fc8f3829214045f9,4,5,10,2,True
WH_04,b36f3c918c91478c4559160022d3f14e,3,5,5,2,True
WH_05,0e2d365a247d105fefc31b17ab8706d9,3,5,14,2,True
WH_02,0d85c435fd60b277ffb9e9b0f88f927a,2,5,3,2,True
WH_04,d493f5a208254fe85b3ab55d898461a1,3,5,5,2,True
WH_02,f71973c922ccaab05514a36a8bc741b8,2,5,5,2,True
